2003|Ed1|ueda2003rp-1|On the low Reynolds number flow about two rotating circular cylinders|Auueda Ausellier Aukida Aunakanishi|Stpub|495|255|281|Rsno|Pppd|Dr7||
1999|Ed12|olendraru1999rp-1|Inviscid instability of the Batchelor vortex &#58; Absolute&#47;convective transition and spatial branches|Auolendraru Ausellier Aurossi Auhuerre|Stpub|11|1805|1820|Rsno|Pppd|Dr1||
1996|Ed4|olendraru1996rp-1|Absolute&#47;convective instability of the Batchelor vortex|Auolendraru Ausellier Aurossi Auhuerre|Stpub|323 IIb|153|159|Rsno|Pppd|Dr1||
1997|Ed19|manneville1997rp-1|Universality in Ising-like phase transitions of lattices of coupled chaotic maps|Aumanneville Aumarcq Auchate|Stpub|55|2606|2627|Rsno|Pppd|Dr2||
1996|Ed6|manneville1996rp-3|Universal critical behavior in two-dimensional coupled map lattices|Aumanneville Aumarcq Auchate|Stpub|77|4003|4006|Rsno|Pppd|Dr2||
2006|Ed59|marcq2006rp-1|Critical properties of phase transitions in lattices of coupled logistic maps|Aumarcq Auchate Aumanneville|Stpub|161|244|250|Rsno|Pppd|Dr2||
2001|Ed29|pier2001rp-1|Nonlinear synchronization in open flows|Aupier Auhuerre|Stpub|15|471|480|Rsno|Pppd|Dr3||
1997|Ed26|pouliquen1997rp-2|Fingering in granular chute flows|Aupouliquen Audelour Ausavage|Stpub|386|816|817|Rsno|Pppd|Dr11||
1997|Ed6|pouliquen1997rp-3|Crystallisation of non-brownian spheres under horizontal shaking|Aupouliquen Aunicolas Auweidman|Stpub|79|3640|3643|Rsno|Pppd|Dr11||
1991|Ed5|chomaz1991rp-2|Internal wave generated by a moving sphere and its wake in a stratified fluid|Auchomaz Auhopfinger Auflor Aubonneton|Stpub|11|255|261|Rsno|Pppd|Dr4||
1992|Ed7|chomaz1992rp-2|Froude number effect of the flow separation line on a sphere towed in a stratified fluid|Auchomaz Aubonneton Aubutet Auperrier Auhopfinger|Stpub|4&#40;2&#41;|254|258|Rsno|Pppd|Dr4||
2004|Ed40|py2004rp-1|The mixing layer instability of wind over a flexible crop canopy|Aupy Audelangre Aumoulia|Stpub|332|613|618|Rsno|Pppd|Dr5|Kw18|
1998|Ed31|tilley1998rp-1|Oblique two-fluid stagnation-point flow|Autilley Auweidman|Stpub|17|205|217|Rsno|Pppd|Dr11||
2007|Ed1|nichols2007rp-1|Self-substained oscillations in variable-density round jets|Aunichols Auschmid Auriley|Stpub|582|341|376|Rsno|Pppd|Dr1||
1990|Ed1|crighton1990rp-1|Shear layer pressure fluctuations and superdirective acoustic sources|Aucrighton Auhuerre|Stpub|220|355|568|Rsno|Pppd|Dr8||
1993|Ed1|chomaz1993rp-2|The structure of the near wake of a sphere moving in a stratified fluid|Auchomaz Aubonneton Auhopfinger|Stpub|254|1|21|Rsno|Pppd|Dr4||
1993|Ed1|chomaz1993rp-3|Internal waves produced by the turbulent wake of a sphere moving horizontally in a stratified fluid|Auchomaz Aubonneton Auhopfinger|Stpub|254|23|40|Rsno|Pppd|Dr4||
1993|Ed1|monkewitz1993rp-1|Global linear stability analysis of weakly non-parallel shear flows|Aumonkewitz Auhuerre Auchomaz|Stpub|251|1|20|Rsno|Pppd|Dr3||
1993|Ed1|yang1993rp-1|A model of defect induced pairing in mixing layers|Auyang Aubrowand Aucoullet Auhuerre|Stpub|248|403|423|Rsno|Pppd|Dr6||
